bizesNm,indsLclsNm,indsMclsNm,sigunguNm,sigunguDetailNm,adongNm,rdnAdr,indsSclsNm,ctprvnNm,signguNm
김밥플러스,음식,기타 간이,경기도,수원시 권선구,세류3동,경기도 수원시 권선구 정조로 567,미제공,미제공,경기도
2참외사과세요,소매,식료품 소매,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 에듀타운로 25,미제공,미제공,경기도
윤가네마포구이,음식,한식,경기도,수원시 권선구,권선1동,경기도 수원시 권선구 권선로683번길 17,미제공,미제공,경기도
화인맨파워,시설관리·임대,고용 알선,경기도,수원시 팔달구,매교동,경기도 수원시 팔달구 정조로 711,미제공,미제공,경기도
디자인모들,과학·기술,전문 디자인,경기도,수원시 권선구,세류2동,경기도 수원시 권선구 덕영대로1049번길 10-14,미제공,미제공,경기도
심야식당秀,음식,주점,경기도,수원시 권선구,금곡동,경기도 수원시 권선구 금호로 83-8,미제공,미제공,경기도
제이다락방,소매,섬유·의복·신발 소매,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 수원천로255번길 6,미제공,미제공,경기도
파장마차,음식,주점,경기도,수원시 장안구,파장동,경기도 수원시 장안구 파장천로25번길 2,미제공,미제공,경기도
부국공인중개사,부동산,부동산 서비스,경기도,수원시 영통구,매탄3동,경기도 수원시 영통구 매탄로100번길 17,미제공,미제공,경기도
남포한우,음식,한식,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 장다리로306번길 24,미제공,미제공,경기도
도원,음식,중식,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 행궁로 66,미제공,미제공,경기도
봄나무,과학·기술,기술 서비스,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 경수대로446번길 48,미제공,미제공,경기도
현민광택,수리·개인,자동차 수리·세차,경기도,수원시 권선구,평동,경기도 수원시 권선구 평동로58번길 25,미제공,미제공,경기도
탑케어,수리·개인,가전제품 수리,경기도,수원시 권선구,서둔동,경기도 수원시 권선구 세화로161번길 32-6,미제공,미제공,경기도
지적&토지전문행정사사무소,과학·기술,법무관련 ,경기도,수원시 영통구,매탄4동,경기도 수원시 영통구 동탄원천로 1019-15,미제공,미제공,경기도
해빛,소매,종합 소매,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 인계로166번길 45,미제공,미제공,경기도
아이엘스튜디오,과학·기술,사진 촬영,경기도,수원시 장안구,파장동,경기도 수원시 장안구 파장로76번길 5,미제공,미제공,경기도
원이엔지,과학·기술,기술 서비스,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 창룡대로256번길 77,미제공,미제공,경기도
조아뜨라헤어&뷰티샵,수리·개인,이용·미용,경기도,수원시 장안구,정자3동,경기도 수원시 장안구 만석로68번길 10,미제공,미제공,경기도
제이지엘종합개발,과학·기술,전문 디자인,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 중부대로 110,미제공,미제공,경기도
일번가해장국,음식,한식,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 권광로187번길 10-3,미제공,미제공,경기도
반올림피자샵광교,음식,기타 간이,경기도,수원시 영통구,광교2동,경기도 수원시 영통구 법조로149번길 81,미제공,미제공,경기도
노다지회,음식,한식,경기도,수원시 장안구,영화동,경기도 수원시 장안구 정조로933번길 15,미제공,미제공,경기도
구구족영통역점,음식,한식,경기도,수원시 영통구,영통3동,경기도 수원시 영통구 봉영로 1569,미제공,미제공,경기도
제이빔,소매,섬유·의복·신발 소매,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 인계로 154,미제공,미제공,경기도
나린모바일,소매,가전·통신 소매,경기도,수원시 영통구,망포2동,경기도 수원시 영통구 덕영대로 1478,미제공,미제공,경기도
피아체레음악학원,교육,기타 교육,경기도,수원시 장안구,파장동,경기도 수원시 장안구 파장로68번길 61,미제공,미제공,경기도
구성종합인쇄,과학·기술,인쇄·제품제작,경기도,수원시 팔달구,고등동,경기도 수원시 팔달구 고화로 23,미제공,미제공,경기도
라움,수리·개인,이용·미용,경기도,수원시 권선구,입북동,경기도 수원시 권선구 당진로15번길 24,미제공,미제공,경기도
다윈테크,시설관리·임대,청소·방제,경기도,수원시 권선구,곡선동,경기도 수원시 권선구 동수원로146번길 145,미제공,미제공,경기도
세븐수원세권로점,소매,종합 소매,경기도,수원시 권선구,권선2동,경기도 수원시 권선구 권광로 55,미제공,미제공,경기도
신데렐라,소매,섬유·의복·신발 소매,경기도,수원시 장안구,정자3동,경기도 수원시 장안구 만석로19번길 11-8,미제공,미제공,경기도
스윗테니스,교육,기타 교육,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 도청로89번길 30,미제공,미제공,경기도
헤어디오미용실,수리·개인,이용·미용,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 화서문로 64,미제공,미제공,경기도
리치공인중개사사무소,부동산,부동산 서비스,경기도,수원시 권선구,세류3동,경기도 수원시 권선구 권선로537번길 28,미제공,미제공,경기도
아이씨유,수리·개인,이용·미용,경기도,수원시 장안구,송죽동,경기도 수원시 장안구 송정로 83,미제공,미제공,경기도
아우토반키즈카수원,소매,오락용품 소매,경기도,수원시 영통구,매탄1동,경기도 수원시 영통구 동수원로 501,미제공,미제공,경기도
에스에이치시스템,수리·개인,가전제품 수리,경기도,수원시 장안구,송죽동,경기도 수원시 장안구 정조로1051번길 37-3,미제공,미제공,경기도
정보기획,과학·기술,인쇄·제품제작,경기도,수원시 팔달구,우만2동,경기도 수원시 팔달구 아주로47번길 13,미제공,미제공,경기도
탑컨설팅,부동산,부동산 서비스,경기도,수원시 권선구,금곡동,경기도 수원시 권선구 금곡로197번길 18-20,미제공,미제공,경기도
수준이다른치킨,음식,기타 간이,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 권광로207번길 28,미제공,미제공,경기도
경기문화콘텐츠진흥원,예술·스포츠,유원지·오락,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 정조로 847-1,미제공,미제공,경기도
커피온,음식,비알코올 ,경기도,수원시 장안구,영화동,경기도 수원시 장안구 영화로26번길 21,미제공,미제공,경기도
영갑사무소,수리·개인,장례식장 ,경기도,수원시 장안구,율천동,경기도 수원시 장안구 서부로2167번길 17,미제공,미제공,경기도
청명주공공인중개사사무소,부동산,부동산 서비스,경기도,수원시 영통구,영통1동,경기도 수원시 영통구 청명북로 83,미제공,미제공,경기도
토탈패션,소매,섬유·의복·신발 소매,경기도,수원시 권선구,권선1동,경기도 수원시 권선구 세권로195번길 13,미제공,미제공,경기도
살롱드화사,수리·개인,이용·미용,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 대학로 60,미제공,미제공,경기도
지산,과학·기술,광고,경기도,수원시 영통구,원천동,경기도 수원시 영통구 삼성로 253,미제공,미제공,경기도
타투라이프,과학·기술,전문 디자인,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 효원로265번길 47,미제공,미제공,경기도
스테이햇살-데어슈츠수원,소매,철물·건설자재 소매,경기도,수원시 영통구,광교2동,경기도 수원시 영통구 센트럴파크로 6,미제공,미제공,경기도
자람세무회계,과학·기술,회계·세무,경기도,수원시 장안구,조원2동,경기도 수원시 장안구 경수대로 950,미제공,미제공,경기도
생각꿈틀미술학원,교육,기타 교육,경기도,수원시 팔달구,화서1동,경기도 수원시 팔달구 덕영대로803번길 43,미제공,미제공,경기도
씨유매산로2가점,소매,종합 소매,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 향교로57번길 13,미제공,미제공,경기도
에디아주,교육,기타 교육,경기도,수원시 팔달구,화서2동,경기도 수원시 팔달구 덕영대로697번길 7,미제공,미제공,경기도
언제나봄,음식,비알코올 ,경기도,수원시 권선구,구운동,경기도 수원시 권선구 수인로 193-4,미제공,미제공,경기도
세무법인해원,과학·기술,회계·세무,경기도,수원시 권선구,권선1동,경기도 수원시 권선구 효원로 230,미제공,미제공,경기도
고카페,음식,비알코올 ,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 경수대로 568,미제공,미제공,경기도
광교더퍼스트-203,과학·기술,전문 디자인,경기도,수원시 영통구,원천동,경기도 수원시 영통구 매영로159번길 19,미제공,미제공,경기도
샤브향,음식,한식,경기도,수원시 장안구,조원2동,경기도 수원시 장안구 경수대로 950,미제공,미제공,경기도
마켓김사부,소매,종합 소매,경기도,수원시 장안구,정자2동,경기도 수원시 장안구 송정로76번길 27-5,미제공,미제공,경기도
오로라,소매,섬유·의복·신발 소매,경기도,수원시 장안구,정자1동,경기도 수원시 장안구 파장로 47,미제공,미제공,경기도
고고탁구장,예술·스포츠,스포츠 서비스,경기도,수원시 권선구,권선1동,경기도 수원시 권선구 세권로165번길 30-25,미제공,미제공,경기도
희연스튜디오,과학·기술,사진 촬영,경기도,수원시 권선구,세류1동,경기도 수원시 권선구 권선로509번길 2,미제공,미제공,경기도
현대세탁소,수리·개인,세탁,경기도,수원시 영통구,원천동,경기도 수원시 영통구 월드컵로179번길 19,미제공,미제공,경기도
새미르세무회계사무소,과학·기술,회계·세무,경기도,수원시 권선구,호매실동,경기도 수원시 권선구 호매실로104번길 90,미제공,미제공,경기도
BMW노래연습장,예술·스포츠,유원지·오락,경기도,수원시 권선구,곡선동,경기도 수원시 권선구 곡선로 38,미제공,미제공,경기도
어게인비,소매,섬유·의복·신발 소매,경기도,수원시 장안구,정자3동,경기도 수원시 장안구 대평로90번길 32,미제공,미제공,경기도
크린토피아GS수퍼,수리·개인,세탁,경기도,수원시 영통구,망포2동,경기도 수원시 영통구 영통로173번길 19,미제공,미제공,경기도
본죽&비빔밥수원,음식,한식,경기도,수원시 권선구,세류3동,경기도 수원시 권선구 권선로 550,미제공,미제공,경기도
이씨에프,음식,비알코올 ,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 센트럴타운로 85,미제공,미제공,경기도
법무사원복동사무소,과학·기술,법무관련 ,경기도,수원시 영통구,원천동,경기도 수원시 영통구 중부대로448번길 83,미제공,미제공,경기도
라이프카카오스크린골프,예술·스포츠,스포츠 서비스,경기도,수원시 장안구,정자3동,경기도 수원시 장안구 대평로90번길 19,미제공,미제공,경기도
매일김치담그는집,음식,한식,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 수원천로 289-1,미제공,미제공,경기도
오토카스토리,음식,비알코올 ,경기도,수원시 권선구,평동,경기도 수원시 권선구 매송고색로 875,미제공,미제공,경기도
커피홍,음식,비알코올 ,경기도,수원시 장안구,조원1동,경기도 수원시 장안구 금당로 20,미제공,미제공,경기도
성오볼링장,예술·스포츠,스포츠 서비스,경기도,수원시 팔달구,화서1동,경기도 수원시 팔달구 팔달로 105,미제공,미제공,경기도
박은자맛사랑,음식,한식,경기도,수원시 장안구,정자3동,경기도 수원시 장안구 대평로90번길 16,미제공,미제공,경기도
향교연운남쌀국수,음식,동남아시아,경기도,수원시 팔달구,고등동,경기도 수원시 팔달구 고매로 11,미제공,미제공,경기도
댄드원여관,숙박,일반 숙박,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 경수대로565번길 44,미제공,미제공,경기도
단골세탁소,수리·개인,세탁,경기도,수원시 팔달구,지동,경기도 수원시 팔달구 팔달문로 74,미제공,미제공,경기도
선진국낙지마당,음식,한식,경기도,수원시 팔달구,우만1동,경기도 수원시 팔달구 세지로 417-2,미제공,미제공,경기도
모노폴1982,음식,기타 간이,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 장다리로172번길 12,미제공,미제공,경기도
달콤재미,음식,기타 간이,경기도,수원시 팔달구,고등동,경기도 수원시 팔달구 고화로 70,미제공,미제공,경기도
71번길모텔,숙박,일반 숙박,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 갓매산로71번길 31,미제공,미제공,경기도
길림성,음식,중식,경기도,수원시 장안구,송죽동,경기도 수원시 장안구 송원로 2,미제공,미제공,경기도
기산건축인테리어,과학·기술,전문 디자인,경기도,수원시 장안구,파장동,경기도 수원시 장안구 파장천로55번길 12-1,미제공,미제공,경기도
바이비네일,수리·개인,이용·미용,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 대학로 43,미제공,미제공,경기도
토탈카센타,수리·개인,자동차 수리·세차,경기도,수원시 팔달구,우만1동,경기도 수원시 팔달구 월드컵로 365,미제공,미제공,경기도
현대북수원서비스주,수리·개인,자동차 수리·세차,경기도,수원시 장안구,정자3동,경기도 수원시 장안구 천천로 106,미제공,미제공,경기도
지오다노롯데,소매,섬유·의복·신발 소매,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 도청로 10,미제공,미제공,경기도
오동물병원,과학·기술,수의,경기도,수원시 영통구,매탄2동,경기도 수원시 영통구 산남로90번길 23,미제공,미제공,경기도
네일속눈썹율래쉬,수리·개인,이용·미용,경기도,수원시 영통구,매탄3동,경기도 수원시 영통구 영통로323번길 39,미제공,미제공,경기도
일주자동차정비공업사,수리·개인,자동차 수리·세차,경기도,수원시 권선구,평동,경기도 수원시 권선구 매송고색로 858,미제공,미제공,경기도
코주부,음식,한식,경기도,수원시 영통구,영통3동,경기도 수원시 영통구 매영로415번길 11,미제공,미제공,경기도
변호사소윤수법률사무소,과학·기술,법무관련 ,경기도,수원시 영통구,광교2동,경기도 수원시 영통구 광교중앙로248번길 107,미제공,미제공,경기도
그랑죠골프,소매,오락용품 소매,경기도,수원시 권선구,서둔동,경기도 수원시 권선구 수봉로 39,미제공,미제공,경기도
중앙사진학원,교육,기타 교육,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 장다리로 157,미제공,미제공,경기도
명관화방문구센터,소매,오락용품 소매,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 중부대로 38,미제공,미제공,경기도
하나로호프,음식,주점,경기도,수원시 팔달구,지동,경기도 수원시 팔달구 팔달문로96번길 3-1,미제공,미제공,경기도
피자스쿨,음식,기타 간이,경기도,수원시 영통구,망포2동,경기도 수원시 영통구 영통로153번길 6,미제공,미제공,경기도
울금향반점,음식,중식,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 갓매산로55번길 4,미제공,미제공,경기도
머리염색쉐반스,수리·개인,이용·미용,경기도,수원시 팔달구,우만1동,경기도 수원시 팔달구 창룡대로150번길 55,미제공,미제공,경기도
세명산업,소매,연료 소매,경기도,수원시 권선구,평동,경기도 수원시 권선구 서수원로 325,미제공,미제공,경기도
아틀리에오늘학원,교육,기타 교육,경기도,수원시 영통구,영통2동,경기도 수원시 영통구 덕영대로1471번길 78,미제공,미제공,경기도
영통문고,소매,오락용품 소매,경기도,수원시 영통구,영통3동,경기도 수원시 영통구 반달로7번길 6,미제공,미제공,경기도
청대문곤드레밥,음식,한식,경기도,수원시 장안구,정자3동,경기도 수원시 장안구 정자천로 187,미제공,미제공,경기도
송악냉난방시스템,수리·개인,가전제품 수리,경기도,수원시 권선구,구운동,경기도 수원시 권선구 구운중로4번길 9-4,미제공,미제공,경기도
한슬테크2,과학·기술,본사·경영 컨설팅,경기도,수원시 영통구,영통2동,경기도 수원시 영통구 신원로 55,미제공,미제공,경기도
탕화쿵푸마라탕,음식,중식,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 중부대로 6,미제공,미제공,경기도
메카스포츠,소매,오락용품 소매,경기도,수원시 권선구,세류3동,경기도 수원시 권선구 장다리로 51,미제공,미제공,경기도
테마노래연습장,예술·스포츠,유원지·오락,경기도,수원시 장안구,연무동,경기도 수원시 장안구 창룡대로 193,미제공,미제공,경기도
밤을담다,음식,주점,경기도,수원시 영통구,광교2동,경기도 수원시 영통구 법조로149번길 264,미제공,미제공,경기도
스타클래스부동산중개컨설팅,부동산,부동산 서비스,경기도,수원시 권선구,호매실동,경기도 수원시 권선구 금곡로140번길 73,미제공,미제공,경기도
뜰15,음식,비알코올 ,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 효원로 33,미제공,미제공,경기도
씨유인계타운점,소매,종합 소매,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 경수대로480번길 13,미제공,미제공,경기도
민속마을,음식,한식,경기도,수원시 권선구,서둔동,경기도 수원시 권선구 탑동로11번길 6-10,미제공,미제공,경기도
금동영세무회계사무소,과학·기술,회계·세무,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 향교로47번길 2,미제공,미제공,경기도
M-CLUB댄스아카데미,교육,기타 교육,경기도,수원시 장안구,연무동,경기도 수원시 장안구 연무로 49,미제공,미제공,경기도
팔청식당,음식,한식,경기도,수원시 영통구,매탄4동,경기도 수원시 영통구 인계로 293,미제공,미제공,경기도
고운실,소매,섬유·의복·신발 소매,경기도,수원시 장안구,조원1동,경기도 수원시 장안구 금당로10번길 26,미제공,미제공,경기도
청학,예술·스포츠,스포츠 서비스,경기도,수원시 권선구,권선1동,경기도 수원시 권선구 효원로266번길 24,미제공,미제공,경기도
광혜원한약국,소매,의약·화장품 소매,경기도,수원시 권선구,구운동,경기도 수원시 권선구 일월천로4번길 55,미제공,미제공,경기도
영자텔레콤,소매,가전·통신 소매,경기도,수원시 장안구,송죽동,경기도 수원시 장안구 경수대로 965,미제공,미제공,경기도
수원평안센터,교육,기타 교육,경기도,수원시 권선구,권선1동,경기도 수원시 권선구 세권로195번길 36,미제공,미제공,경기도
엔씨엔씨픽스,소매,섬유·의복·신발 소매,경기도,수원시 권선구,권선2동,경기도 수원시 권선구 경수대로 270,미제공,미제공,경기도
호호분식,음식,기타 간이,경기도,수원시 영통구,매탄4동,경기도 수원시 영통구 매영로56번길 2,미제공,미제공,경기도
창인테리어,과학·기술,전문 디자인,경기도,수원시 영통구,매탄3동,경기도 수원시 영통구 매탄로65번길 20,미제공,미제공,경기도
온소공방,교육,기타 교육,경기도,수원시 장안구,송죽동,경기도 수원시 장안구 정조로1110번길 6-16,미제공,미제공,경기도
카르파쵸,음식,기타 간이,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 덕영대로 924,미제공,미제공,경기도
리얼타겟사격장,예술·스포츠,유원지·오락,경기도,수원시 장안구,조원2동,경기도 수원시 장안구 경수대로 950,미제공,미제공,경기도
신데렐라,음식,주점,경기도,수원시 영통구,매탄3동,경기도 수원시 영통구 매탄로 47,미제공,미제공,경기도
더런드리수원,수리·개인,세탁,경기도,수원시 권선구,호매실동,경기도 수원시 권선구 금곡로140번길 95-89,미제공,미제공,경기도
빅솔에프앤씨컨설팅,과학·기술,본사·경영 컨설팅,경기도,수원시 장안구,정자1동,경기도 수원시 장안구 이목로 24,미제공,미제공,경기도
소낙스,수리·개인,자동차 수리·세차,경기도,수원시 영통구,원천동,경기도 수원시 영통구 광교중앙로25번길 54,미제공,미제공,경기도
아뜰리에테라,소매,장식품 소매,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 수원천로255번길 6,미제공,미제공,경기도
백광전업사,소매,기타 생활용품 소매,경기도,수원시 영통구,매탄2동,경기도 수원시 영통구 매봉로35번길 42,미제공,미제공,경기도
예가도가니,음식,한식,경기도,수원시 권선구,권선1동,경기도 수원시 권선구 세권로 171,미제공,미제공,경기도
한울컴퍼니,소매,기타 생활용품 소매,경기도,수원시 영통구,매탄1동,경기도 수원시 영통구 중부대로 250,미제공,미제공,경기도
행복부동산컨설팅,부동산,부동산 서비스,경기도,수원시 권선구,입북동,경기도 수원시 권선구 입북로 2,미제공,미제공,경기도
씨유율전농협,소매,종합 소매,경기도,수원시 장안구,율천동,경기도 수원시 장안구 화산로233번길 12,미제공,미제공,경기도
경기에너지,소매,연료 소매,경기도,수원시 장안구,파장동,경기도 수원시 장안구 경수대로1220번길 30-26,미제공,미제공,경기도
필이용원,수리·개인,이용·미용,경기도,수원시 권선구,세류3동,경기도 수원시 권선구 세권로 81,미제공,미제공,경기도
매향떡방앗간,음식,기타 간이,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 수원천로 292,미제공,미제공,경기도
감성,수리·개인,이용·미용,경기도,수원시 팔달구,우만1동,경기도 수원시 팔달구 중부대로143번길 19,미제공,미제공,경기도
엉클정타코야끼연구소,음식,주점,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 대학3로4번길 12,미제공,미제공,경기도
흑돈상회,음식,한식,경기도,수원시 영통구,매탄3동,경기도 수원시 영통구 매탄로108번길 24,미제공,미제공,경기도
로타리통신,소매,가전·통신 소매,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 정조로 783,미제공,미제공,경기도
유니콘공조,수리·개인,가전제품 수리,경기도,수원시 권선구,평동,경기도 수원시 권선구 고색로66번길 22-1,미제공,미제공,경기도
따뜻한친구들,소매,애완동물·용품 소매,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 광교로 145,미제공,미제공,경기도
소문난동네맛집,음식,한식,경기도,수원시 권선구,세류2동,경기도 수원시 권선구 세지로12번길 38,미제공,미제공,경기도
미니멀짐,예술·스포츠,스포츠 서비스,경기도,수원시 권선구,구운동,경기도 수원시 권선구 일월천로4번길 32,미제공,미제공,경기도
곽옥기미술교습소,교육,기타 교육,경기도,수원시 영통구,매탄1동,경기도 수원시 영통구 인계로189번길 14,미제공,미제공,경기도
이제이아트큐브,교육,기타 교육,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 수원천로 337-1,미제공,미제공,경기도
부산꼼장어,음식,한식,경기도,수원시 장안구,율천동,경기도 수원시 장안구 덕영대로425번길 12,미제공,미제공,경기도
한스,수리·개인,가전제품 수리,경기도,수원시 권선구,입북동,경기도 수원시 권선구 당진로15번길 54,미제공,미제공,경기도
애플꼬마김밥,음식,기타 간이,경기도,수원시 영통구,망포2동,경기도 수원시 영통구 태장로7번길 49,미제공,미제공,경기도
기린슈퍼,소매,종합 소매,경기도,수원시 권선구,세류2동,경기도 수원시 권선구 덕영대로1142번길 8-1,미제공,미제공,경기도
백운당,소매,시계·귀금속 소매,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 중부대로 7,미제공,미제공,경기도
꾼떡,음식,기타 간이,경기도,수원시 장안구,조원1동,경기도 수원시 장안구 금당로 39,미제공,미제공,경기도
콜하그callhag,소매,섬유·의복·신발 소매,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 정조로860번길 2-13,미제공,미제공,경기도
한섬,음식,비알코올 ,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 화서문로41번길 32,미제공,미제공,경기도
탑법원경매교육학원,교육,기타 교육,경기도,수원시 권선구,권선1동,경기도 수원시 권선구 효원로 230,미제공,미제공,경기도
행복한김치과,보건의료,의원,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 웰빙타운로 47,미제공,미제공,경기도
한울케이앤제이,부동산,부동산 서비스,경기도,수원시 권선구,금곡동,경기도 수원시 권선구 금곡로212번길 25,미제공,미제공,경기도
중심코어워킹화,소매,섬유·의복·신발 소매,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 매산로 2-10,미제공,미제공,경기도
더나눔,교육,교육 지원,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 권광로 175,미제공,미제공,경기도
씨유망포원경점,소매,종합 소매,경기도,수원시 영통구,영통2동,경기도 수원시 영통구 덕영대로1499번길 55,미제공,미제공,경기도
정댄스스포츠학원,교육,기타 교육,경기도,수원시 권선구,세류3동,경기도 수원시 권선구 세지로 91,미제공,미제공,경기도
세븐일레븐수원율전,소매,종합 소매,경기도,수원시 장안구,율천동,경기도 수원시 장안구 서부로 2065,미제공,미제공,경기도
육회한퇴근길,음식,주점,경기도,수원시 장안구,정자1동,경기도 수원시 장안구 장안로 232,미제공,미제공,경기도
푸른소나무,시설관리·임대,고용 알선,경기도,수원시 장안구,율천동,경기도 수원시 장안구 서부로 2139,미제공,미제공,경기도
경기남부지방경찰청복지후생위원회,음식,구내식당·뷔페,경기도,수원시 장안구,연무동,경기도 수원시 장안구 창룡대로 223,미제공,미제공,경기도
연무공인중개사무소,부동산,부동산 서비스,경기도,수원시 장안구,연무동,경기도 수원시 장안구 창훈로29번길 2,미제공,미제공,경기도
브라운필수원,음식,비알코올 ,경기도,수원시 장안구,송죽동,경기도 수원시 장안구 송원로 20,미제공,미제공,경기도
베이커리팩토리농협,음식,기타 간이,경기도,수원시 권선구,구운동,경기도 수원시 권선구 서부로 1937,미제공,미제공,경기도
에스지,교육,일반 교육,경기도,수원시 영통구,영통2동,경기도 수원시 영통구 영통로213번길 8,미제공,미제공,경기도
씨에스엔지니어링,과학·기술,기술 서비스,경기도,수원시 권선구,금곡동,경기도 수원시 권선구 금곡로 204,미제공,미제공,경기도
한신휴플러스공인중개사사무소,부동산,부동산 서비스,경기도,수원시 장안구,영화동,경기도 수원시 장안구 장안로53번길 39,미제공,미제공,경기도
